Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon_Discount,DP_ID,CName,gender,Age,City,State,created_date,PName,Category,Brand,Price,Revenue,Discount_Amount,Final_Revenue,Month,Day,Age_Group
OR_31003373,CS_11008469,PD_21003064,2024-07-01,21:01:12,9,10,DV_61000077,Champak Chokshi,Female,32,Silchar,Assam,2023-10-12,Possimus Biscuits,Groceries,Parle,988.68,8898.119999999999,889.8119999999998,8008.307999999999,July,Monday,Adult
OR_31003374,CS_11007577,PD_21002312,2024-10-08,20:33:08,1,0,DV_61000123,Gagan Sampath,Female,50,Ambala,Haryana,2024-12-05,Nemo Juice,Dairy,Nestle,425.08,425.08,0.0,425.08,October,Tuesday,Middle
OR_31003375,CS_11009912,PD_21003687,2024-04-09,22:22:44,6,0,DV_61000134,Kabir Grewal,Female,57,Mysore,Karnataka,2024-07-17,Excepturi Milk,Home Care,Amul,675.21,4051.26,0.0,4051.26,April,Tuesday,Senior
OR_31003376,CS_11004687,PD_21008606,2024-08-12,14:59:34,6,20,DV_61000270,Kamya Tella,Male,60,Jabalpur,Madhya Pradesh,2025-01-15,Accusamus Biscuits,Groceries,Amul,350.35,2102.1,420.4200000000001,1681.68,August,Monday,Senior
OR_31003377,CS_11001939,PD_21005353,2024-05-04,05:51:31,1,20,DV_61000055,Kashish Reddy,Female,69,Salem,Tamil Nadu,2024-07-11,Ipsum Biscuits,Personal Care,Parle,431.28,431.28,86.25599999999999,345.024,May,Saturday,Senior
OR_31003378,CS_11003078,PD_21005774,2024-11-14,18:22:25,4,10,DV_61000186,Chaitaly Batta,Female,44,Tiruchirappalli,Tamil Nadu,2023-08-15,Asperiores Soap,Groceries,Amul,122.43,489.72,48.97200000000001,440.748,November,Thursday,Middle
OR_31003379,CS_11007475,PD_21008602,2024-09-13,11:54:16,9,0,DV_61000223,Jagvi Banik,Male,48,Kolkata,West Bengal,2024-09-28,Autem Shampoo,Snacks,Haldirams,723.82,6514.38,0.0,6514.38,September,Friday,Middle
OR_31003380,CS_11005500,PD_21000408,2024-12-24,20:10:16,9,20,DV_61000138,Manthan Bassi,Male,48,Sambalpur,Odisha,2023-07-01,Quae Milk,Home Care,Britannia,441.99,3977.91,795.582,3182.328,December,Tuesday,Middle
OR_31003381,CS_11000977,PD_21009887,2024-03-13,07:57:02,4,0,DV_61000124,Hemal Boase,Male,49,Kolkata,West Bengal,2023-04-11,Iusto Milk,Snacks,Parle,233.15,932.6,0.0,932.6,March,Wednesday,Middle
OR_31003382,CS_11004168,PD_21002912,2024-12-05,09:09:07,10,20,DV_61000249,Rudra Karpe,Male,64,Vadodara,Gujarat,2023-07-25,Exercitationem Shampoo,Groceries,Nestle,497.44,4974.4,994.88,3979.52,December,Thursday,Senior
OR_31003383,CS_11004267,PD_21007097,2024-12-21,04:07:46,7,0,DV_61000146,Lila Bhatia,Female,25,Durg,Chhattisgarh,2024-07-02,Possimus Biscuits,Groceries,Britannia,540.6,3784.2,0.0,3784.2,December,Saturday,Young
OR_31003384,CS_11009021,PD_21009431,2024-03-25,16:33:05,7,20,DV_61000206,Orinder Gade,Male,26,Muzaffarpur,Bihar,2025-02-04,Repellat Milk,Dairy,Dabur,260.41,1822.87,364.574,1458.296,March,Monday,Adult
OR_31003385,CS_11008591,PD_21002463,2024-10-27,13:17:33,4,15,DV_61000034,Gautami Bir,Female,18,Ajmer,Rajasthan,2024-10-27,Accusantium Juice,Snacks,Haldirams,127.12,508.48,76.272,432.208,October,Sunday,Teen
OR_31003386,CS_11006438,PD_21004316,2024-05-19,19:46:22,9,15,DV_61000261,Madhav Kurian,Male,68,Varanasi,Uttar Pradesh,2023-10-29,Quas Soap,Dairy,Nestle,697.42,6276.78,941.5169999999999,5335.263,May,Sunday,Senior
OR_31003387,CS_11006860,PD_21003143,2024-12-03,21:39:18,5,0,DV_61000067,Chasmum Thaker,Male,67,Ludhiana,Punjab,2024-07-22,Doloremque Milk,Dairy,Nestle,558.81,2794.05,0.0,2794.05,December,Tuesday,Senior
OR_31003388,CS_11009106,PD_21001140,2024-07-15,10:27:57,2,10,DV_61000216,Hritik Bajwa,Male,49,Tiruchirappalli,Tamil Nadu,2023-04-17,Perferendis Milk,Snacks,Dabur,322.96,645.92,64.592,581.328,July,Monday,Middle
OR_31003389,CS_11007207,PD_21009452,2024-12-12,01:48:13,10,10,DV_61000157,Vritti Bhattacharyya,Female,46,Vadodara,Gujarat,2024-09-04,Odio Juice,Home Care,Britannia,182.83,1828.3,182.83,1645.47,December,Thursday,Middle
OR_31003390,CS_11008781,PD_21002263,2024-11-23,04:01:14,6,10,DV_61000099,Arjun Minhas,Male,52,Bathinda,Punjab,2023-04-10,Quasi Soap,Beverages,Nestle,460.31,2761.86,276.186,2485.674,November,Saturday,Senior
OR_31003391,CS_11005380,PD_21000797,2024-10-30,00:54:10,6,15,DV_61000042,Bishakha Raman,Male,30,Visakhapatnam,Andhra Pradesh,2024-11-18,Pariatur Shampoo,Personal Care,Parle,842.94,5057.64,758.6460000000001,4298.994000000001,October,Wednesday,Adult
OR_31003392,CS_11002537,PD_21000319,2024-12-03,23:36:28,1,0,DV_61000267,Ira Amble,Male,60,Dhanbad,Jharkhand,2023-05-12,Id Soap,Groceries,Amul,996.29,996.29,0.0,996.29,December,Tuesday,Senior
OR_31003393,CS_11004501,PD_21005038,2024-05-14,02:00:30,5,0,DV_61000208,Faris Bhalla,Male,39,Durgapur,West Bengal,2025-02-17,Distinctio Juice,Beverages,Haldirams,113.94,569.7,0.0,569.7,May,Tuesday,Middle
OR_31003394,CS_11006765,PD_21008181,2024-05-20,18:30:54,9,0,DV_61000049,Kabir Koshy,Female,46,Ludhiana,Punjab,2025-01-11,Delectus Milk,Groceries,Parle,59.5,535.5,0.0,535.5,May,Monday,Middle
OR_31003395,CS_11007395,PD_21007003,2024-11-23,21:00:16,2,20,DV_61000151,Triya Mukhopadhyay,Female,46,Jodhpur,Rajasthan,2025-01-10,Architecto Juice,Groceries,Dabur,384.11,768.22,153.644,614.576,November,Saturday,Middle
OR_31003396,CS_11002896,PD_21004485,2024-07-24,21:40:31,2,0,DV_61000098,Jagrati D’Alia,Female,38,Salem,Tamil Nadu,2024-05-03,Quod Juice,Snacks,Britannia,602.02,1204.04,0.0,1204.04,July,Wednesday,Middle
OR_31003397,CS_11004611,PD_21004067,2025-01-13,19:29:37,1,0,DV_61000101,Urmi Bakshi,Female,69,Jaipur,Rajasthan,2024-08-25,Rerum Juice,Home Care,Nestle,184.62,184.62,0.0,184.62,January,Monday,Senior
OR_31003398,CS_11009651,PD_21007827,2024-12-12,15:13:24,5,10,DV_61000086,William Yohannan,Male,21,Kanpur,Uttar Pradesh,2024-03-02,At Juice,Dairy,Nestle,334.54,1672.7,167.27,1505.43,December,Thursday,Young
OR_31003399,CS_11009765,PD_21009454,2025-03-06,16:24:01,8,0,DV_61000227,David Zacharia,Female,63,Gwalior,Madhya Pradesh,2024-05-03,Consequatur Soap,Dairy,Haldirams,500.09,4000.72,0.0,4000.72,March,Thursday,Senior
OR_31003400,CS_11006156,PD_21000837,2025-01-09,16:25:01,10,0,DV_61000111,Kevin Dass,Male,34,Dhanbad,Jharkhand,2023-10-18,Nesciunt Milk,Home Care,Amul,313.48,3134.8,0.0,3134.8,January,Thursday,Adult
OR_31003401,CS_11008243,PD_21008350,2024-05-10,23:08:47,8,15,DV_61000182,Omaja Wali,Male,20,Hubli,Karnataka,2023-04-25,Quisquam Shampoo,Snacks,Dabur,902.41,7219.28,1082.892,6136.388,May,Friday,Young
OR_31003402,CS_11001990,PD_21008988,2024-09-11,00:53:07,6,20,DV_61000147,Sanaya Dhaliwal,Male,33,Agra,Uttar Pradesh,2023-10-03,Veniam Soap,Personal Care,Britannia,85.25,511.5,102.3,409.2,September,Wednesday,Adult
OR_31003403,CS_11002671,PD_21009464,2024-10-30,01:29:57,2,0,DV_61000001,Bhavini Dara,Female,61,Sambalpur,Odisha,2024-11-21,Et Juice,Personal Care,Britannia,113.58,227.16,0.0,227.16,October,Wednesday,Senior
OR_31003404,CS_11006789,PD_21002650,2024-05-05,11:28:37,1,10,DV_61000112,Aarav Mitter,Male,19,Jorhat,Assam,2023-05-20,Animi Shampoo,Groceries,Parle,38.84,38.84,3.884,34.956,May,Sunday,Young
OR_31003405,CS_11007867,PD_21001675,2024-11-13,20:43:24,9,15,DV_61000234,Zayyan Dash,Male,66,Kollam,Kerala,2024-11-28,Quidem Juice,Beverages,Parle,420.77,3786.93,568.0395,3218.8905,November,Wednesday,Senior
OR_31003406,CS_11000934,PD_21005406,2024-07-23,02:35:17,3,15,DV_61000222,Aarna Modi,Female,24,Kota,Rajasthan,2024-06-26,Eum Juice,Home Care,Parle,762.43,2287.29,343.0935,1944.1965,July,Tuesday,Young
OR_31003407,CS_11001828,PD_21006542,2025-01-19,09:00:32,4,10,DV_61000155,Gaurika Sant,Male,59,Agra,Uttar Pradesh,2023-06-30,Repellendus Juice,Dairy,Parle,41.99,167.96,16.796,151.164,January,Sunday,Senior
OR_31003408,CS_11007789,PD_21006950,2024-12-27,21:42:22,7,15,DV_61000067,Kamala Vyas,Male,61,Agra,Uttar Pradesh,2024-06-07,Sint Soap,Personal Care,Parle,109.21,764.4699999999999,114.6705,649.7995,December,Friday,Senior
OR_31003409,CS_11005577,PD_21002899,2025-02-22,10:28:56,4,10,DV_61000133,Gaurika Kapoor,Female,51,Patiala,Punjab,2023-06-04,Tempore Milk,Home Care,Parle,695.48,2781.92,278.192,2503.728,February,Saturday,Senior
OR_31003410,CS_11006813,PD_21005925,2024-12-31,14:45:53,1,20,DV_61000031,Chameli Krishnamurthy,Male,56,Hazaribagh,Jharkhand,2025-01-31,Iure Soap,Home Care,Britannia,557.09,557.09,111.418,445.672,December,Tuesday,Senior
OR_31003411,CS_11004769,PD_21006475,2024-12-24,12:26:35,9,15,DV_61000109,Gopal Chanda,Female,31,Siliguri,West Bengal,2024-10-08,Sequi Biscuits,Personal Care,Haldirams,521.07,4689.63,703.4445,3986.1855,December,Tuesday,Adult
OR_31003412,CS_11003634,PD_21001421,2024-04-11,05:52:17,2,10,DV_61000178,Diya Varkey,Male,40,Agra,Uttar Pradesh,2024-04-24,Quia Shampoo,Beverages,Haldirams,869.53,1739.06,173.906,1565.154,April,Thursday,Middle
OR_31003413,CS_11009925,PD_21006885,2025-01-13,23:50:11,4,15,DV_61000036,Jatin Datta,Female,66,Bangalore,Karnataka,2023-10-13,Aut Juice,Groceries,Dabur,537.07,2148.28,322.242,1826.038,January,Monday,Senior
OR_31003414,CS_11009552,PD_21003378,2024-07-16,17:47:42,5,10,DV_61000192,Lohit Mander,Male,21,Nagpur,Maharashtra,2025-01-09,Eum Soap,Home Care,Parle,721.45,3607.25,360.725,3246.525,July,Tuesday,Young
OR_31003415,CS_11006541,PD_21002018,2024-09-21,02:53:06,10,0,DV_61000275,Omkaar Patla,Male,21,Ahmedabad,Gujarat,2024-09-25,Quasi Juice,Personal Care,Haldirams,984.69,9846.900000000001,0.0,9846.900000000001,September,Saturday,Young
OR_31003416,CS_11003299,PD_21003985,2024-06-28,12:09:52,2,10,DV_61000148,Rachana Rai,Female,58,Gaya,Bihar,2023-04-23,Nisi Milk,Groceries,Dabur,247.85,495.7,49.57,446.13,June,Friday,Senior
OR_31003417,CS_11000818,PD_21008390,2025-01-07,02:15:05,5,0,DV_61000058,Ridhi Kade,Female,53,Karimnagar,Telangana,2023-10-26,Tempora Milk,Snacks,Haldirams,563.8,2819.0,0.0,2819.0,January,Tuesday,Senior
OR_31003418,CS_11004090,PD_21001184,2024-08-01,16:11:12,5,20,DV_61000056,Faris Patla,Male,30,Kolkata,West Bengal,2023-08-06,Rerum Biscuits,Dairy,Dabur,527.01,2635.05,527.01,2108.04,August,Thursday,Adult
OR_31003419,CS_11004698,PD_21005270,2025-02-05,00:06:20,1,15,DV_61000098,Jason Bahri,Male,65,Cuttack,Odisha,2024-12-05,Fuga Juice,Dairy,Britannia,685.06,685.06,102.759,582.3009999999999,February,Wednesday,Senior
OR_31003420,CS_11001094,PD_21009638,2024-12-10,21:25:41,2,10,DV_61000171,Warjas Chaudhary,Male,46,Agra,Uttar Pradesh,2024-11-01,Repellat Juice,Dairy,Amul,294.78,589.56,58.956,530.6039999999999,December,Tuesday,Middle
OR_31003421,CS_11005319,PD_21007983,2024-06-27,02:31:46,1,0,DV_61000188,Ekavir Bhatti,Female,39,Kolkata,West Bengal,2023-11-24,Repudiandae Shampoo,Home Care,Parle,336.87,336.87,0.0,336.87,June,Thursday,Middle
OR_31003422,CS_11001523,PD_21009926,2025-02-19,21:36:47,10,20,DV_61000254,Krisha Dhingra,Female,26,Cuttack,Odisha,2024-06-18,Dolore Shampoo,Dairy,Dabur,273.74,2737.4,547.48,2189.92,February,Wednesday,Adult
OR_31003423,CS_11009674,PD_21004741,2024-09-01,02:13:25,8,15,DV_61000254,Finn Gandhi,Female,45,Gaya,Bihar,2024-02-01,Totam Soap,Home Care,Dabur,158.54,1268.32,190.248,1078.072,September,Sunday,Middle
OR_31003424,CS_11002329,PD_21004918,2024-09-11,23:32:26,3,0,DV_61000268,Aadi Ghosh,Male,45,Raipur,Chhattisgarh,2025-02-10,Quod Shampoo,Personal Care,Dabur,356.06,1068.18,0.0,1068.18,September,Wednesday,Middle
OR_31003425,CS_11003800,PD_21008408,2024-03-20,15:39:19,5,0,DV_61000255,Jalsa Bedi,Male,42,Raipur,Chhattisgarh,2024-07-18,Ducimus Juice,Home Care,Parle,85.71,428.55,0.0,428.55,March,Wednesday,Middle
OR_31003426,CS_11006171,PD_21004221,2024-07-29,17:26:18,10,10,DV_61000207,Triveni Mittal,Male,37,Rajkot,Gujarat,2023-04-30,Ipsam Soap,Dairy,Amul,630.46,6304.6,630.46,5674.14,July,Monday,Middle
OR_31003427,CS_11006460,PD_21008895,2024-10-15,11:20:55,9,20,DV_61000128,Robert Varughese,Male,49,Kochi,Kerala,2023-10-14,Quis Soap,Dairy,Amul,951.34,8562.06,1712.412,6849.647999999999,October,Tuesday,Middle
OR_31003428,CS_11009751,PD_21006462,2024-03-26,01:02:26,9,15,DV_61000300,Ranveer Nagy,Female,23,Chennai,Tamil Nadu,2024-12-17,Quia Juice,Snacks,Haldirams,53.94,485.46,72.819,412.641,March,Tuesday,Young
OR_31003429,CS_11004460,PD_21000040,2024-08-02,15:08:34,4,10,DV_61000087,Jagdish Peri,Female,65,Sambalpur,Odisha,2024-11-28,Facere Biscuits,Dairy,Nestle,762.27,3049.08,304.908,2744.172,August,Friday,Senior
OR_31003430,CS_11004473,PD_21006684,2024-05-03,01:45:40,7,0,DV_61000158,Isaac Varty,Female,34,Bhagalpur,Bihar,2023-09-30,Nemo Juice,Home Care,Nestle,36.74,257.18,0.0,257.18,May,Friday,Adult
OR_31003431,CS_11002085,PD_21004488,2024-08-11,19:34:52,4,10,DV_61000149,Ikshita Majumdar,Female,42,Jalandhar,Punjab,2023-10-11,Ab Milk,Personal Care,Nestle,96.04,384.16,38.416,345.744,August,Sunday,Middle
OR_31003432,CS_11003942,PD_21007299,2024-07-31,17:43:53,9,0,DV_61000247,Harish Rama,Male,44,Agra,Uttar Pradesh,2023-06-01,Corrupti Milk,Snacks,Haldirams,513.76,4623.84,0.0,4623.84,July,Wednesday,Middle
OR_31003433,CS_11008227,PD_21006616,2025-02-24,02:16:20,6,0,DV_61000159,Logan Varty,Male,52,Indore,Madhya Pradesh,2023-11-24,Beatae Soap,Dairy,Nestle,269.35,1616.1,0.0,1616.1,February,Monday,Senior
OR_31003434,CS_11000045,PD_21007133,2024-07-20,01:39:19,1,20,DV_61000205,Chanakya Lal,Male,38,Rajkot,Gujarat,2024-05-08,Voluptas Soap,Home Care,Amul,819.19,819.19,163.838,655.3520000000001,July,Saturday,Middle
OR_31003435,CS_11002380,PD_21009465,2024-08-14,04:52:48,2,10,DV_61000088,Anamika Varty,Male,28,Mysore,Karnataka,2023-07-15,Repellendus Milk,Personal Care,Amul,662.78,1325.56,132.556,1193.004,August,Wednesday,Adult
OR_31003436,CS_11001365,PD_21002267,2025-02-05,03:06:17,8,15,DV_61000050,Shravya Dey,Female,70,Bhopal,Madhya Pradesh,2024-10-21,Corporis Biscuits,Personal Care,Nestle,350.55,2804.4,420.66,2383.74,February,Wednesday,Senior
OR_31003437,CS_11004416,PD_21009453,2024-11-26,09:34:21,10,10,DV_61000142,Dalaja Tailor,Male,20,Tiruchirappalli,Tamil Nadu,2023-05-08,Deserunt Soap,Home Care,Haldirams,814.38,8143.8,814.38,7329.42,November,Tuesday,Young
OR_31003438,CS_11009785,PD_21000380,2024-04-04,18:25:58,6,20,DV_61000197,Tanish Dugar,Male,26,Bokaro,Jharkhand,2024-12-28,Totam Biscuits,Personal Care,Nestle,682.19,4093.14,818.628,3274.512,April,Thursday,Adult
OR_31003439,CS_11008286,PD_21004587,2024-10-29,07:34:21,6,0,DV_61000275,Kevin Nair,Male,24,Ranchi,Jharkhand,2024-02-14,Saepe Soap,Home Care,Dabur,732.6,4395.6,0.0,4395.6,October,Tuesday,Young
OR_31003440,CS_11001591,PD_21006703,2025-02-01,09:14:38,3,0,DV_61000035,Jeevika Toor,Female,50,Hazaribagh,Jharkhand,2024-01-02,Repudiandae Juice,Dairy,Britannia,327.22,981.6600000000001,0.0,981.6600000000001,February,Saturday,Middle
OR_31003441,CS_11003672,PD_21003472,2024-12-21,04:29:10,6,10,DV_61000251,Indira Chaudry,Female,35,Bhagalpur,Bihar,2023-05-30,Cum Juice,Beverages,Parle,50.04,300.24,30.024,270.216,December,Saturday,Adult
OR_31003442,CS_11007487,PD_21004090,2024-04-10,00:30:24,5,20,DV_61000079,Tristan Chahal,Male,25,Bangalore,Karnataka,2024-04-15,Ullam Soap,Snacks,Amul,823.21,4116.05,823.21,3292.84,April,Wednesday,Young
OR_31003443,CS_11003913,PD_21006794,2025-01-18,17:10:16,2,15,DV_61000036,Qarin Bumb,Female,38,Patna,Bihar,2023-03-11,Atque Juice,Dairy,Amul,974.12,1948.24,292.236,1656.004,January,Saturday,Middle
OR_31003444,CS_11006350,PD_21007159,2024-07-13,23:52:34,8,10,DV_61000191,Watika Srivastava,Male,53,Ahmedabad,Gujarat,2023-07-28,Est Milk,Home Care,Nestle,69.24,553.92,55.392,498.528,July,Saturday,Senior
OR_31003445,CS_11002327,PD_21000131,2024-11-14,12:56:20,9,15,DV_61000268,Harrison Kumar,Female,50,Sambalpur,Odisha,2023-09-04,Quo Soap,Home Care,Britannia,52.74,474.66,71.19900000000001,403.461,November,Thursday,Middle
OR_31003446,CS_11008437,PD_21000738,2024-07-23,06:34:00,1,20,DV_61000160,Tanay Ratta,Female,26,Jorhat,Assam,2024-10-23,Eum Milk,Personal Care,Parle,686.86,686.86,137.372,549.488,July,Tuesday,Adult
OR_31003447,CS_11006582,PD_21000396,2024-07-01,15:15:17,4,15,DV_61000274,Yatan Kumar,Male,42,Faridabad,Haryana,2024-06-02,Quo Biscuits,Personal Care,Nestle,652.44,2609.76,391.464,2218.296,July,Monday,Middle
OR_31003448,CS_11000797,PD_21000585,2024-12-02,01:57:00,2,10,DV_61000092,Qarin Grover,Male,25,Ambala,Haryana,2024-09-11,Aperiam Shampoo,Snacks,Parle,233.22,466.44,46.644,419.796,December,Monday,Young
OR_31003449,CS_11007896,PD_21006706,2024-06-12,03:11:40,7,15,DV_61000120,Liam Dani,Female,51,Asansol,West Bengal,2024-03-25,Harum Shampoo,Dairy,Britannia,242.73,1699.11,254.8665,1444.2435,June,Wednesday,Senior
OR_31003450,CS_11004551,PD_21006541,2024-09-10,00:39:33,8,0,DV_61000176,Dalbir Lalla,Male,32,Udaipur,Rajasthan,2024-03-22,Commodi Milk,Groceries,Britannia,237.33,1898.64,0.0,1898.64,September,Tuesday,Adult
OR_31003451,CS_11001622,PD_21005055,2024-04-04,04:57:27,2,0,DV_61000169,Elijah Purohit,Male,25,Faridabad,Haryana,2023-11-27,Repellendus Biscuits,Groceries,Britannia,471.86,943.72,0.0,943.72,April,Thursday,Young
OR_31003452,CS_11008998,PD_21004648,2025-01-02,04:39:24,6,10,DV_61000287,Naksh Toor,Male,48,Coimbatore,Tamil Nadu,2024-10-22,Laboriosam Biscuits,Home Care,Parle,13.78,82.67999999999999,8.267999999999999,74.41199999999999,January,Thursday,Middle
OR_31003453,CS_11002640,PD_21009779,2024-08-14,06:35:54,9,15,DV_61000102,Keya Majumdar,Male,53,Bhagalpur,Bihar,2024-07-10,Eveniet Biscuits,Groceries,Parle,976.39,8787.51,1318.1265,7469.3835,August,Wednesday,Senior
OR_31003454,CS_11005952,PD_21009694,2025-01-01,16:37:57,3,0,DV_61000277,Sara Singh,Male,31,Nellore,Andhra Pradesh,2024-07-31,Doloremque Milk,Home Care,Britannia,161.84,485.52,0.0,485.52,January,Wednesday,Adult
OR_31003455,CS_11009799,PD_21009149,2024-08-27,01:52:18,7,20,DV_61000004,Yadavi Amble,Male,19,Kochi,Kerala,2023-10-01,Suscipit Soap,Personal Care,Nestle,560.38,3922.66,784.5319999999999,3138.128,August,Tuesday,Young
OR_31003456,CS_11002016,PD_21002486,2025-02-09,18:16:09,10,10,DV_61000013,Saksham Ramachandran,Male,63,Chennai,Tamil Nadu,2024-12-14,Voluptates Milk,Beverages,Haldirams,308.61,3086.1,308.61,2777.49,February,Sunday,Senior
OR_31003457,CS_11009776,PD_21007895,2024-11-05,21:44:33,8,15,DV_61000024,Jagrati Chaudhuri,Female,59,Gaya,Bihar,2024-02-13,Corrupti Soap,Beverages,Dabur,420.96,3367.68,505.152,2862.528,November,Tuesday,Senior
OR_31003458,CS_11005321,PD_21004507,2024-09-11,12:51:03,1,0,DV_61000001,Hamsini Kannan,Female,36,Gwalior,Madhya Pradesh,2024-03-31,Voluptatum Juice,Dairy,Parle,340.33,340.33,0.0,340.33,September,Wednesday,Middle
OR_31003459,CS_11000410,PD_21003659,2025-02-11,07:38:43,5,20,DV_61000081,Falak Uppal,Male,44,Bilaspur,Chhattisgarh,2025-01-06,Dolorum Juice,Home Care,Nestle,952.31,4761.549999999999,952.3099999999998,3809.239999999999,February,Tuesday,Middle
OR_31003460,CS_11005472,PD_21009537,2025-02-20,23:46:43,1,20,DV_61000043,Madhavi Char,Male,45,Bokaro,Jharkhand,2023-03-21,Tempora Soap,Personal Care,Parle,912.22,912.22,182.444,729.7760000000001,February,Thursday,Middle
OR_31003461,CS_11002024,PD_21000023,2024-10-23,18:34:17,10,0,DV_61000181,Yug D’Alia,Male,68,Aurangabad,Maharashtra,2023-11-27,Asperiores Milk,Groceries,Britannia,212.83,2128.3,0.0,2128.3,October,Wednesday,Senior
OR_31003462,CS_11001906,PD_21002070,2024-03-14,02:01:08,5,20,DV_61000285,Chaman Swamy,Female,39,Muzaffarpur,Bihar,2024-01-20,Enim Milk,Snacks,Dabur,776.54,3882.7,776.54,3106.16,March,Thursday,Middle
OR_31003463,CS_11009452,PD_21003245,2024-11-19,20:10:28,9,15,DV_61000093,Chaaya Chand,Female,62,Thrissur,Kerala,2023-04-17,Magnam Juice,Snacks,Amul,696.45,6268.05,940.2075,5327.842500000001,November,Tuesday,Senior
OR_31003464,CS_11005970,PD_21003893,2024-05-06,09:49:52,1,20,DV_61000164,Sathvik Dasgupta,Female,27,Kollam,Kerala,2024-07-13,Est Juice,Home Care,Haldirams,362.42,362.42,72.48400000000001,289.936,May,Monday,Adult
OR_31003465,CS_11005868,PD_21007513,2024-08-09,13:34:27,7,15,DV_61000259,Ayush Bose,Male,37,Kolkata,West Bengal,2023-07-07,Error Shampoo,Dairy,Haldirams,394.14,2758.98,413.847,2345.133,August,Friday,Middle
OR_31003466,CS_11009538,PD_21001066,2024-11-26,04:45:37,7,20,DV_61000241,Gunbir Soni,Male,46,Thrissur,Kerala,2023-11-19,Quod Biscuits,Beverages,Haldirams,401.97,2813.79,562.758,2251.032,November,Tuesday,Middle
OR_31003467,CS_11009857,PD_21005744,2024-08-25,11:03:05,8,10,DV_61000199,Ijaya Contractor,Male,50,Gwalior,Madhya Pradesh,2023-12-09,Blanditiis Shampoo,Groceries,Britannia,851.57,6812.56,681.2560000000001,6131.304,August,Sunday,Middle
OR_31003468,CS_11000326,PD_21006947,2024-10-01,06:53:45,10,20,DV_61000163,Daniel Varughese,Male,23,Jalandhar,Punjab,2023-10-06,Officia Juice,Beverages,Amul,216.39,2163.9,432.7799999999999,1731.12,October,Tuesday,Young
OR_31003469,CS_11004190,PD_21003467,2024-11-11,03:37:09,10,20,DV_61000096,Wriddhish Chander,Male,59,Korba,Chhattisgarh,2025-02-03,Enim Soap,Dairy,Amul,481.33,4813.3,962.66,3850.64,November,Monday,Senior
OR_31003470,CS_11006147,PD_21003483,2025-02-01,05:51:36,7,0,DV_61000068,Arjun Kala,Male,25,Siliguri,West Bengal,2024-12-18,Nesciunt Juice,Beverages,Parle,569.01,3983.07,0.0,3983.07,February,Saturday,Young
OR_31003471,CS_11007790,PD_21006617,2024-05-28,23:31:41,3,0,DV_61000260,Irya Edwin,Male,36,Warangal,Telangana,2023-08-08,Asperiores Juice,Dairy,Nestle,653.55,1960.65,0.0,1960.65,May,Tuesday,Middle
OR_31003472,CS_11002107,PD_21001648,2024-04-17,09:50:45,7,20,DV_61000029,Rishi Mitter,Male,63,Jalandhar,Punjab,2023-07-03,Pariatur Biscuits,Beverages,Nestle,120.79,845.5300000000001,169.106,676.4240000000001,April,Wednesday,Senior
OR_31003473,CS_11004401,PD_21008287,2024-10-04,04:22:06,2,15,DV_61000113,Mitesh Gokhale,Female,53,Dhanbad,Jharkhand,2023-06-01,Vel Shampoo,Home Care,Dabur,694.84,1389.68,208.452,1181.228,October,Friday,Senior
OR_31003474,CS_11006436,PD_21007280,2024-03-06,19:11:17,4,20,DV_61000029,Sneha Devan,Male,65,Kochi,Kerala,2024-08-15,Quod Milk,Groceries,Britannia,314.95,1259.8,251.96,1007.84,March,Wednesday,Senior
OR_31003475,CS_11002794,PD_21003896,2025-02-20,20:46:32,4,20,DV_61000133,Bhavna Bhagat,Male,46,Hyderabad,Telangana,2023-12-30,Molestiae Shampoo,Beverages,Amul,453.46,1813.84,362.768,1451.072,February,Thursday,Middle
OR_31003476,CS_11007990,PD_21002880,2024-03-10,23:51:54,8,0,DV_61000125,Lajita Wable,Female,57,Rourkela,Odisha,2024-05-30,Eaque Soap,Home Care,Britannia,653.89,5231.12,0.0,5231.12,March,Sunday,Senior
OR_31003477,CS_11008109,PD_21007167,2025-02-28,03:42:57,4,10,DV_61000026,Adya Seth,Male,51,Vijayawada,Andhra Pradesh,2023-05-02,Consequuntur Milk,Snacks,Britannia,585.89,2343.56,234.356,2109.204,February,Friday,Senior
OR_31003478,CS_11007502,PD_21006121,2024-05-09,04:38:47,9,0,DV_61000047,Wazir Kuruvilla,Female,24,Karnal,Haryana,2024-10-31,Hic Juice,Groceries,Nestle,790.48,7114.32,0.0,7114.32,May,Thursday,Young
OR_31003479,CS_11000001,PD_21004131,2024-08-01,11:10:43,8,0,DV_61000139,Anay Singhal,Female,62,Hyderabad,Telangana,2025-03-03,Consequuntur Biscuits,Personal Care,Dabur,371.96,2975.68,0.0,2975.68,August,Thursday,Senior
OR_31003480,CS_11007555,PD_21003477,2024-09-16,13:05:12,1,20,DV_61000010,Avi Kari,Male,45,Bhavnagar,Gujarat,2023-10-06,Commodi Juice,Home Care,Haldirams,931.33,931.33,186.266,745.0640000000001,September,Monday,Middle
OR_31003481,CS_11007605,PD_21009757,2024-06-14,14:23:31,2,20,DV_61000079,Ekta Venkataraman,Male,39,Indore,Madhya Pradesh,2023-09-10,Ab Soap,Personal Care,Parle,917.67,1835.34,367.068,1468.272,June,Friday,Middle
